code,alpha001
sh.600215,-0.10272004629909604
sh.600216,0.10388707508954197
sh.600217,-0.5013685137701085
sh.600218,0.23125925768073974
sh.600219,-0.5355668538568548
sh.600221,-0.48118213074593924
sh.600222,0.38048530917350637
sh.600223,-0.19841566098072563
sh.600226,0.3618498283920942
sh.600227,-0.6033636123891613
sh.600228,0.4521379246579035
sh.600229,-0.04013568556134169
sh.600230,-0.4260164669614141
sh.600231,-0.16510844996737759
sh.600232,-0.1947248019935063
sh.600233,0.21070075848421174
sh.600235,-0.2866261071005594
sh.600236,-0.1673215523918161
sh.600237,0.0920085797495122
sh.600238,0.2219199641293512
sh.600239,-0.09891659190554156
sh.600241,-0.29930172732505494
sh.600243,-0.8960291652534409
sh.600246,0.012831125333794774
sh.600248,-0.16705865279604712
sh.600249,-0.19761646494631227
sh.600250,-0.0
sh.600251,0.5558854609137422
sh.600252,0.11348927724186819
sh.600255,-0.2644086071606368
sh.600256,0.02696042001893765
sh.600257,0.05146585780286082
sh.600258,0.010044293307470932
sh.600259,0.02321366761862308
sh.600261,0.23050703733188066
sh.600262,-0.6122473208515538
sh.600265,-0.46156674124270836
sh.600266,-0.5189595383816694
sh.600267,0.19301809547397192
sh.600268,-0.020990239863315475
sh.600269,-0.5491179785882822
sh.600271,0.7107208349043027
sh.600272,0.04128076573324617
sh.600273,-0.8697300465632983
sh.600276,-0.5002076369864574
sh.600278,0.282066098421494
sh.600279,-0.6484944635372565
sh.600280,-0.8412810099857819
sh.600281,0.006288744768806319
sh.600282,-0.03957320345722716
sh.600283,-0.9182257015708616
sh.600284,-0.13869740456116275
sh.600285,-0.4360251602530233
sh.600288,-0.5017119393262709
sh.600292,-0.06801406474383244
sh.600293,0.0813402733341348
sh.600295,0.0040494779922473
sh.600298,0.28469424849056846
sh.600299,0.44905288998977094
sh.600300,-0.25528102859553836
sh.600301,-0.5073902333613654
sh.600302,-0.3053708695292341
sh.600305,0.32912802189183177
sh.600307,-0.14561637630670354
sh.600308,-0.47858620027379656
sh.600310,0.6932903881877152
sh.600312,-0.1528452484335616
sh.600313,0.1010764669238886
sh.600315,0.15770206096551503
sh.600316,-0.1711246742833422
sh.600318,-0.37154458273143043
sh.600319,0.653410127919836
sh.600320,-0.4359159342264015
sh.600322,-0.8146315766786146
sh.600323,-0.5832022884080924
sh.600325,0.2306546980964217
sh.600326,0.03202345969503518
sh.600327,-0.03901711670809037
sh.600328,-0.10356147170885012
sh.600329,-0.058793463384596366
sh.600330,-0.053210103217362595
sh.600332,-0.10516521355047814
sh.600333,0.0539937985292652
sh.600335,-0.08306548495424712
sh.600336,-0.07257842704666508
sh.600337,0.1290399835351736
sh.600338,-0.834721112945132
sh.600339,-0.4780304582894668
sh.600340,-0.22738695780353022
sh.600343,-0.731791191482334
sh.600345,-0.7768397981569721
sh.600346,-0.184549391395267
sh.600348,0.2944088584552055
sh.600350,0.11188767156466661
sh.600351,-0.09372829174340791
sh.600352,-0.1383243829473299
sh.600353,-0.3031033130094392
sh.600354,-0.051704121612170126
sh.600355,-0.4028272115015501
sh.600358,-0.5164706270859539
sh.600359,-0.25866771331393823
sh.600361,-0.1593009844432517
sh.600362,0.06538635223332857
sh.600363,-0.6549566080044944
sh.600366,-0.9618531754201675
sh.600367,-0.5370475083096726
sh.600368,0.814679077462234
sh.600369,-0.38496128680727965
sh.600370,-0.45092716162995694
sh.600371,0.028685370452522556
sh.600372,-0.19922469076698468
sh.600373,-0.27900595808003237
sh.600376,-0.4622030610366266
sh.600377,0.3155479585035469
sh.600378,0.16853246237221328
sh.600379,0.27004518044979187
sh.600380,-0.18649543263010246
sh.600382,-0.5015117332809061
sh.600383,-0.3811494958016743
sh.600386,0.2959124855512506
sh.600388,0.3764617583068252
sh.600389,0.06490840240405586
sh.600390,-0.5521889017310769
sh.600391,0.14269550133301143
sh.600392,-0.7282955790062097
sh.600395,0.2522985158244288
sh.600396,0.25833797809039466
sh.600397,0.26687849772233524
sh.600398,-0.3711710011495951
sh.600399,-0.07397733468324776
sh.600400,0.6244515893326632
sh.600403,-0.23983974387182608
sh.600405,-0.7473735734648563
sh.600406,0.6554722738349299
sh.600408,-0.4504327553591504
sh.600409,-0.24202141539357166
sh.600410,-0.6979858265226582
sh.600415,-0.9607670263183006
sh.600416,0.7272110585425977
sh.600418,-0.1736020951736282
sh.600419,0.37897110034955156
sh.600420,0.5277674868539791
sh.600421,0.35726530936410306
sh.600422,0.14375198904569322
sh.600423,-0.7819758652169165
sh.600425,-0.28481635749923156
sh.600426,0.3213781908605916
sh.600428,-0.3446785347184895
sh.600429,0.3285276215887983
sh.600433,0.3407112461642014
sh.600435,-0.13836756839921985
sh.600438,-0.3659777009339192
sh.600439,-0.4444776371056093
sh.600444,0.3885157199664291
sh.600446,-0.36818513406285797
sh.600448,0.06211996683157722
sh.600449,-0.2837956518534104
sh.600452,-0.7947826821808927
sh.600455,-0.4008024799978222
sh.600456,-0.2942917696620459
sh.600458,-0.15642056482566896
sh.600459,-0.22985187049974043
sh.600460,-0.17854002020073556
sh.600461,0.3740223127801289
sh.600463,-0.8972996776792297
sh.600467,-0.08533963606581238
sh.600468,-0.61602039765492
sh.600469,-0.33023064626615234
sh.600470,-0.7757948865072858
sh.600475,-0.21987249423396868
sh.600476,-0.09811007905151249
sh.600477,-0.15197665978839972
sh.600478,-0.06514773740422566
sh.600479,-0.3045109705887049
sh.600480,-0.5987234720601436
sh.600481,-0.39494802088412917
sh.600482,-0.8292935959410853
sh.600483,-0.28899672794458586
sh.600487,-0.6176492706508433
sh.600488,0.2827377148809726
sh.600489,0.3217426944718011
sh.600490,-0.537947975420453
sh.600491,0.008329170751383643
sh.600493,-0.05209541818115089
sh.600495,-0.3757401839707231
sh.600496,0.17542538522354217
sh.600497,0.38688771482605966
sh.600498,-0.4238945203338243
sh.600499,0.21766645912581256
sh.600500,0.17304688257220485
sh.600501,-0.3334691213917649
sh.600502,-0.24605619371261014
sh.600503,0.21034157567527206
sh.600505,-0.9219974175655539
sh.600506,0.3547299894983825
sh.600507,-0.19113841963309264
sh.600508,-0.25446336209683185
sh.600509,-0.6156206638915382
sh.600510,-0.7657073301104415
sh.600511,0.38813375912086145
sh.600512,-0.19918554761240506
sh.600513,0.23244767941112196
sh.600515,-0.1165564011858876
sh.600516,-0.34778803382802864
sh.600517,-0.08828833534333473
sh.600518,-0.2966102263353167
sh.600520,-0.7532418013621526
sh.600521,-0.7257776391986004
sh.600522,-0.04346388089619004
sh.600523,-0.19287044242334592
sh.600525,-0.18473405336414672
sh.600526,-0.11441505709340015
sh.600527,-0.16832343529603566
sh.600528,-0.13517000687350506
sh.600529,0.13543664878282158
sh.600530,0.2718884140057422
sh.600531,-0.08376792269454883
sh.600533,0.39136138562823075
sh.600535,0.20191980986141544
sh.600537,-0.3785212720844736
sh.600538,-0.30745440195144524
sh.600539,-0.3907461325489865
sh.600540,-0.30001373545948906
sh.600543,-0.0605627305016651
sh.600545,-0.031991670035719386
sh.600546,0.09558075661843213
sh.600547,0.12704270451816937
sh.600548,0.26646231676680066
sh.600549,-0.8352668655641142
sh.600550,-0.6674363985436302
sh.600551,-0.0844725664968206
sh.600552,-0.31070729435416106
sh.600556,-0.032240786101068
sh.600557,-0.40115735491061694
sh.600558,-0.39989368494959393
sh.600559,-0.08548483924394026
sh.600560,0.2675801418034748
sh.600561,-0.4699931703343355
sh.600562,-0.9233457692601972
sh.600566,0.23956852887686317
sh.600567,0.28275443402111594
sh.600569,0.20417144504620133
sh.600570,-0.09358985436764837
sh.600571,-0.7200345347189531
sh.600572,0.2870174430085856
sh.600573,-0.4859563742995625
sh.600575,-0.8913717897613215
sh.600576,-0.4875271764756048
sh.600577,-0.18375245489462336
sh.600578,0.21454707584237798
sh.600579,0.2733134091541823
sh.600580,-0.21337146092948012
sh.600581,0.49664646843383403
sh.600582,-0.5389966756185794
sh.600583,0.8442981047974847
sh.600584,-0.06636712191857395
sh.600585,-0.18301964492676345
sh.600586,0.16814755053919148
sh.600587,0.1771936184201322
sh.600588,-0.5114115844672181
sh.600589,-0.6713137066173427
sh.600590,-0.36136708615589236
sh.600592,-0.330180383450491
sh.600593,-0.8219105357877944
sh.600594,0.4491003541022404
sh.600595,-0.19002430637867157
sh.600596,-0.266892811370335
sh.600597,0.1117426035356948
sh.600598,0.37636886766370004
sh.600601,-0.30970119509675875
sh.600602,-0.2367686865728691
sh.600604,-0.257428931892608
sh.600605,-0.42055863639353497
sh.600606,-0.025945924481946783
sh.600609,-0.06140749103478412
sh.600610,-0.540719625441995
sh.600611,-0.530960569349262
sh.600613,0.1380193877777304
sh.600615,0.08568543717359439
sh.600616,-0.2794599870957287
sh.600617,0.42482789174337665
sh.600618,0.6983261326394505
sh.600619,-0.5960384501927268
sh.600620,0.08227678022070574
sh.600621,-0.5644592928198411
sh.600622,-0.7446173513847257
sh.600623,-0.36863621910664945
sh.600624,0.2303235165406672
sh.600626,0.31006965581732876
sh.600628,-0.2621592869015343
sh.600629,-0.5136549147622246
sh.600630,-0.12634514451719137
sh.600633,-0.27583369510638517
sh.600635,0.25858039198607724
sh.600636,0.1819890504200992
sh.600637,-0.08175231461528983
sh.600638,-0.2861170716423635
sh.600639,-0.1626678704923065
sh.600640,-0.24746426068216712
sh.600642,-0.5028108312613987
sh.600643,0.001991025026123069
sh.600644,-0.04657451838826911
sh.600645,0.15701722698827794
sh.600648,-0.15609857502695604
sh.600649,-0.4954825257183116
sh.600650,-0.9083844130076613
sh.600651,-0.024131729671173954
sh.600653,-0.2832116162818912
sh.600654,-0.8126826920452755
sh.600655,-0.023661053308116707
sh.600657,-0.07409829934833913
sh.600658,-0.7919508124696347
sh.600661,-0.0341717253187103
sh.600662,0.2099250488588046
sh.600663,0.017770615596972954
sh.600664,0.44516603038873326
sh.600665,-0.37631150064427166
sh.600666,-0.7164875419438176
sh.600667,-0.695059553135786
sh.600668,-0.19880140874704127
sh.600673,-0.7688556235980244
sh.600674,-0.0513914556956285
sh.600675,0.24501217756734678
sh.600676,-0.2518187786112627
sh.600678,-0.39018199762943556
sh.600679,0.10628846442112257
sh.600681,0.25493976203250157
sh.600682,-0.8184943446577795
sh.600683,-0.1832570245703417
sh.600684,0.2734400483044112
sh.600685,-0.46089697495807164
sh.600686,-0.6814369655453979
sh.600688,0.1481549795662345
sh.600689,0.31026972273622366
sh.600690,0.20364610149288045
sh.600691,-0.06931510952383674
sh.600692,-0.9088471043398769
sh.600693,0.11472152760246276
sh.600694,-0.3303903300852098
sh.600696,-0.4463770437755436
sh.600697,0.5008538892594645
sh.600698,0.12715046964843055
sh.600699,-0.05193018650571231
sh.600703,-0.266231543897662
sh.600704,-0.13343047357422644
sh.600705,0.26475661974898806
sh.600706,-0.28637626263140153
sh.600707,-0.16920531049334228
sh.600708,-0.30024109931914617
sh.600710,-0.21780768382871857
sh.600712,-0.7258828983496426
sh.600713,-0.12554740691451974
sh.600714,-0.6315615510162185
sh.600716,-0.2786461899130315
sh.600717,0.27179093445370767
sh.600718,-0.4568445232254043
sh.600719,-0.5817886067685015
sh.600720,-0.38343689986330814
sh.600721,0.5495266318819468
sh.600722,-0.3789284789517832
sh.600724,-0.870786506130073
sh.600725,-0.0663410174825572
sh.600726,-0.2909255370044273
sh.600727,-0.539561331244755
sh.600728,-0.16205931442521884
sh.600729,0.43853211355164656
sh.600730,-0.06507910302381233
sh.600731,0.24079707176194964
sh.600732,-0.34710298923687405
sh.600733,-0.7697477111592217
sh.600734,-0.23123273402128927
sh.600735,-0.7795021394984525
sh.600736,-0.4294838386387822
sh.600737,-0.31860792255218556
sh.600738,0.18572848810691944
sh.600739,-0.13111058099774367
sh.600740,0.38959751668962184
sh.600741,-0.8826702143071038
sh.600742,-0.5413144289412491
sh.600743,-0.592505242681596
sh.600744,-0.8580247774131304
sh.600745,-0.3917997886244297
sh.600746,-0.3430372477165167
sh.600748,-0.821538398779122
sh.600749,0.13920464527198892
sh.600750,0.5442555839838966
sh.600751,-0.2863635700230029
sh.600753,0.01142013271370323
sh.600754,0.6798377657367846
sh.600755,0.22824080310306197
sh.600756,-0.4743489315752706
sh.600757,-0.3938952206184745
sh.600758,0.5772138788834213
sh.600759,-0.2744426499119988
sh.600760,-0.5546088379690395
sh.600761,0.17985613660378344
sh.600763,-0.04854242946990372
sh.600764,-0.2376634764608053
sh.600765,-0.48578479717532475
sh.600768,0.8212751398470751
sh.600769,-0.9460131019722802
sh.600770,-0.5664765005322817
sh.600771,-0.21903756805372013
sh.600773,0.16126751434546024
sh.600774,-0.12057117227816529
sh.600775,-0.1796086404319789
sh.600776,-0.3190688142328056
sh.600778,-0.8039346172646031
sh.600780,0.39575091260976303
sh.600782,-0.20162693757596353
sh.600783,0.19539768654063902
sh.600784,0.4986775540957781
sh.600785,-0.08014706057680113
sh.600787,-0.34600746596481485
sh.600789,-0.30823464690699176
sh.600790,-0.42237217403803934
sh.600791,-0.7772988174068822
sh.600792,-0.32369172657508066
sh.600793,0.042829094717874945
sh.600794,-0.03542849102134295
sh.600795,0.16535153546528644
sh.600796,-0.3369715302595778
sh.600797,-0.7192426885798472
sh.600798,0.4072392727236852
sh.600800,-0.5422126353733935
sh.600801,-0.09441540303257492
sh.600802,-0.13029261451087665
sh.600803,-0.3942225820541771
sh.600805,0.0768853995000887
sh.600807,0.133667911504479
sh.600808,0.5142188398508876
sh.600810,-0.21876666543527018
sh.600811,-0.7121492139550535
sh.600812,0.7030308547256278
sh.600814,0.010027781037072568
sh.600815,0.03399285027128636
sh.600816,-0.19283736886736405
sh.600817,-0.44682627376837436
sh.600818,-0.11113692340465273
sh.600819,-0.5080675848420978
sh.600820,0.039551284384370375
