,日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称
3910,2025-04-11,000985,中证全指,CSI All Share,603277,银都股份,"YINDU KITCHEN EQUIPMENT CO., LTD.",上海证券交易所,Shanghai Stock Exchange
3911,2025-04-11,000985,中证全指,CSI All Share,603278,大业股份,"Shandong Daye Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3912,2025-04-11,000985,中证全指,CSI All Share,603279,景津装备,Jingjin Equipment Inc.,上海证券交易所,Shanghai Stock Exchange
3913,2025-04-11,000985,中证全指,CSI All Share,603280,南方路机,"Fujian South Highway Machinery Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3914,2025-04-11,000985,中证全指,CSI All Share,603281,江瀚新材,"Hubei Jianghan New Materials Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
3915,2025-04-11,000985,中证全指,CSI All Share,603282,亚光股份,"Zhejiang Yaguang Technology Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
3916,2025-04-11,000985,中证全指,CSI All Share,603283,赛腾股份,"Suzhou Secote Precision Electronic Co.,LTD",上海证券交易所,Shanghai Stock Exchange
3917,2025-04-11,000985,中证全指,CSI All Share,603285,键邦股份,"Shandong Jianbang New Material Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3918,2025-04-11,000985,中证全指,CSI All Share,603286,日盈电子,"Jiangsu Riying Electronics Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3919,2025-04-11,000985,中证全指,CSI All Share,603288,海天味业,Foshan Haitian Flavouring and Food Company Ltd.,上海证券交易所,Shanghai Stock Exchange
3920,2025-04-11,000985,中证全指,CSI All Share,603289,泰瑞机器,"Tederic Machinery Co., LTD",上海证券交易所,Shanghai Stock Exchange
3921,2025-04-11,000985,中证全指,CSI All Share,603290,斯达半导,StarPower Semiconductor Ltd.,上海证券交易所,Shanghai Stock Exchange
3922,2025-04-11,000985,中证全指,CSI All Share,603291,联合水务,"Jiangsu United Water Technology Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
3923,2025-04-11,000985,中证全指,CSI All Share,603296,华勤技术,"Huaqin Technology Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
3924,2025-04-11,000985,中证全指,CSI All Share,603297,永新光学,"NINGBO YONG XIN OPTICS CO., LTD.",上海证券交易所,Shanghai Stock Exchange
3925,2025-04-11,000985,中证全指,CSI All Share,603298,杭叉集团,"Hangcha Group Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
3926,2025-04-11,000985,中证全指,CSI All Share,603299,苏盐井神,"Jiang Su Suyan Jingshen Co.,Ltd",上海证券交易所,Shanghai Stock Exchange
3927,2025-04-11,000985,中证全指,CSI All Share,603300,海南华铁,"Zhejiang Haikong Nanke Huatie Digital Intelligence & Technology Co.,Ltd.",上海证券交易所,Shanghai Stock Exchange
3928,2025-04-11,000985,中证全指,CSI All Share,603301,振德医疗,"Zhende Medical Co., Ltd.",上海证券交易所,Shanghai Stock Exchange
