,报告日,营业总收入,营业收入,利息收入,已赚保费,手续费及佣金收入,房地产销售收入,其他业务收入,营业总成本,营业成本,手续费及佣金支出,房地产销售成本,退保金,赔付支出净额,提取保险合同准备金净额,保单红利支出,分保费用,其他业务成本,营业税金及附加,研发费用,销售费用,管理费用,财务费用,利息费用,利息支出,投资收益,对联营企业和合营企业的投资收益,以摊余成本计量的金融资产终止确认产生的收益,汇兑收益,净敞口套期收益,公允价值变动收益,期货损益,托管收益,补贴收入,其他收益,资产减值损失,信用减值损失,其他业务利润,资产处置收益,营业利润,营业外收入,非流动资产处置利得,营业外支出,非流动资产处置损失,利润总额,所得税费用,未确认投资损失,净利润,持续经营净利润,终止经营净利润,归属于母公司所有者的净利润,被合并方在合并前实现净利润,少数股东损益,其他综合收益,归属于母公司所有者的其他综合收益,（一）以后不能重分类进损益的其他综合收益,重新计量设定受益计划变动额,权益法下不能转损益的其他综合收益,其他权益工具投资公允价值变动,企业自身信用风险公允价值变动,（二）以后将重分类进损益的其他综合收益,权益法下可转损益的其他综合收益,可供出售金融资产公允价值变动损益,其他债权投资公允价值变动,金融资产重分类计入其他综合收益的金额,其他债权投资信用减值准备,持有至到期投资重分类为可供出售金融资产损益,现金流量套期储备,现金流量套期损益的有效部分,外币财务报表折算差额,其他,归属于少数股东的其他综合收益,综合收益总额,归属于母公司所有者的综合收益总额,归属于少数股东的综合收益总额,基本每股收益,稀释每股收益,数据源,是否审计,公告日期,币种,类型,更新日期
20,20191231,129334706000.0,129334706000.0,,,,,,119355972000.0,93208133000.0,,,,,,,,,3892043000.0,287667000.0,13285623000.0,3928645000.0,4753861000.0,4882121000.0,,2484281000.0,2474774000.0,,,,,,,,181791000.0,,,,4428000.0,11979126000.0,303783000.0,,132293000.0,,12150616000.0,3553617000.0,,8596999000.0,8596999000.0,,5628607000.0,4255000.0,2968392000.0,-27557000.0,-36328000.0,-61259000.0,,12915000.0,-74174000.0,,24931000.0,,,,,,,,,6182000.0,,8771000.0,8569442000.0,5592279000.0,2977163000.0,0.42,0.42,定期报告,是,20210325,CNY,合并期末,2020-03-21T02:47:03
21,20190930,94255021000.0,94255021000.0,,,,,,84900356000.0,65167262000.0,,,,,,,,,3054188000.0,156053000.0,10190006000.0,2774468000.0,3558379000.0,3621472000.0,,2029427000.0,2028735000.0,,,,,,,,114594000.0,,,,4032000.0,11471583000.0,285837000.0,,93524000.0,,11663896000.0,2899433000.0,,8764463000.0,8764463000.0,,5762084000.0,,3002379000.0,-6054000.0,-13316000.0,-40752000.0,,,-40752000.0,,27436000.0,,,26189000.0,,,,,,1247000.0,,7262000.0,8758409000.0,5748768000.0,3009641000.0,0.43,0.43,定期报告,未审计,20201029,CNY,合并期末,2020-03-13T16:00:40
22,20190630,61042809000.0,61042809000.0,,,,,,54534436000.0,41696520000.0,,,,,,,,,2024967000.0,88230000.0,6672751000.0,1734381000.0,2317587000.0,2355828000.0,,1396804000.0,1396255000.0,,,,,,,,83465000.0,,,,3914000.0,7981144000.0,19578000.0,,52947000.0,,7947775000.0,1992435000.0,,5955340000.0,5955340000.0,,3788560000.0,1632000.0,2166780000.0,-19138000.0,-23803000.0,-41019000.0,,,-41019000.0,,17216000.0,,,17684000.0,,,,,,-468000.0,,4665000.0,5936202000.0,3764757000.0,2171445000.0,0.29,0.29,定期报告,未审计,20200829,CNY,合并期末,2020-03-13T16:00:40
23,20190331,29552412000.0,29552412000.0,,,,,,26704724000.0,20698940000.0,,,,,,,,,969812000.0,43177000.0,3182771000.0,842898000.0,967126000.0,1133975000.0,,541719000.0,541719000.0,,,,,,,,34949000.0,,-3822000.0,,280000.0,3428458000.0,12737000.0,,15898000.0,,3425297000.0,835354000.0,,2589943000.0,2589943000.0,,1541065000.0,,1048878000.0,14661000.0,10801000.0,,,,,,10801000.0,,,16678000.0,,,,,,-5877000.0,,3860000.0,2604604000.0,1551866000.0,1052738000.0,0.12,0.12,定期报告,未审计,20200429,CNY,合并期末,2020-03-13T16:00:40
24,20181231,104140084000.0,104140084000.0,,,,,,96138020000.0,74314057000.0,,,,,,,,,3252816000.0,216615000.0,10593623000.0,4103909000.0,3657000000.0,4363634000.0,,1922215000.0,1916374000.0,,,,,,,,158215000.0,1106332000.0,136397000.0,,-14526000.0,8822258000.0,170865000.0,,282908000.0,,8710215000.0,2564818000.0,,6145397000.0,6145397000.0,,3352389000.0,82189000.0,2793008000.0,-169744000.0,-167319000.0,-172294000.0,,,-172294000.0,,4975000.0,,,23113000.0,,,,,,-18138000.0,,-2425000.0,5975653000.0,3185070000.0,2790583000.0,0.25,0.25,定期报告,是,20200321,CNY,合并期末,2020-03-13T16:00:40
25,20180930,77137425000.0,77137425000.0,,,,,,69800383000.0,54342203000.0,,,,,,,,,2304694000.0,117141000.0,7667160000.0,2664802000.0,2704383000.0,3171281000.0,,1323297000.0,1322787000.0,,,,,,,,94183000.0,36042000.0,7197000.0,,-10281000.0,8701002000.0,40936000.0,,115442000.0,,8626496000.0,2308932000.0,,6317564000.0,6317564000.0,,4063985000.0,,2253579000.0,-122720000.0,-124607000.0,-125197000.0,,,-125197000.0,,590000.0,,,8585000.0,,,,,,-7995000.0,,1887000.0,6194844000.0,3939378000.0,2255466000.0,0.31,0.31,定期报告,未审计,20191029,CNY,合并期末,2020-03-13T16:00:40
26,20180630,50317608000.0,50317608000.0,,,,,,45204314000.0,35036741000.0,,,,,,,,,1527347000.0,27203000.0,5107956000.0,1750820000.0,1754247000.0,2094030000.0,,847806000.0,847426000.0,,,,,,,,68924000.0,29181000.0,7197000.0,,-20082000.0,5973564000.0,29001000.0,,47921000.0,,5954644000.0,1664832000.0,,4289812000.0,4289812000.0,,2709344000.0,,1580468000.0,-130953000.0,-133626000.0,-125197000.0,,,-125197000.0,,-8429000.0,,,8645000.0,,,,,,-17074000.0,,2673000.0,4158859000.0,2575718000.0,1583141000.0,0.2,0.2,定期报告,未审计,20190824,CNY,合并期末,2020-03-13T16:00:40
27,20180331,25955736000.0,25955736000.0,,,,,,23429516000.0,18548472000.0,,,,,,,,,713163000.0,27833000.0,2462749000.0,858762000.0,814737000.0,963767000.0,,341818000.0,341314000.0,,,,,,,,36658000.0,3800000.0,3800000.0,,,2904696000.0,12247000.0,,19724000.0,,2897219000.0,706528000.0,,2190691000.0,2190691000.0,,1391746000.0,,798945000.0,-7636000.0,-7636000.0,,,,,,-7636000.0,,,,,,,,,-7636000.0,,,2183055000.0,1384110000.0,798945000.0,0.105,0.105,定期报告,未审计,20190424,CNY,合并期末,2020-03-13T16:00:40
28,20171231,81512560000.0,81512560000.0,,,,,,77042579000.0,55346730000.0,,,,,,,,,2671595000.0,147780000.0,9974904000.0,3591392000.0,3343564000.0,3870908000.0,,1228396000.0,1088055000.0,,,,,,,,198008000.0,1966614000.0,,,85777000.0,5982162000.0,77959000.0,,164433000.0,,5895688000.0,1703246000.0,,4192442000.0,4192442000.0,,2291775000.0,253627000.0,1900667000.0,6076000.0,6076000.0,,,,,,6076000.0,,1065000.0,,,,,,,5011000.0,,,4198518000.0,2297851000.0,1900667000.0,0.17,0.17,定期报告,是,20190316,CNY,合并期末,2020-03-13T16:00:40
29,20170930,59977227000.0,59977227000.0,,,,,,55278348000.0,39567328000.0,,,,,,,,,1936179000.0,81012000.0,7477077000.0,2351197000.0,2459349000.0,2827853000.0,,788713000.0,777005000.0,,,,,,,,91153000.0,1406206000.0,0.0,,92325000.0,5671070000.0,71586000.0,159712000.0,84764000.0,50088000.0,5657892000.0,1676385000.0,,3981507000.0,3981507000.0,,2332026000.0,,1649481000.0,8057000.0,8057000.0,,,,,,8057000.0,944000.0,944000.0,,,,,,,7113000.0,,0.0,3989564000.0,2340083000.0,1649481000.0,0.18,0.18,定期报告,未审计,20181024,CNY,合并期末,2020-03-13T16:00:40
