,代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
768,561600,消费电子ETF,0.638,0.6373,-0.11,0.018,2.9,246696.0,15439028.0,0.623,0.64,0.617,0.62,3.71,16.53,1.75,14.68,114747.0,131949.0,-681521.0,-4.41,-2145513.0,-13.9,1463992.0,9.48,853288.0,5.53,-171767.0,-1.11,2.0,0.637,0.638,149274000.0,95236812,95236812,2024-09-26,2024-09-26 15:00:41+08:00
769,159713,稀土ETF,0.604,0.6052,0.2,0.017,2.9,260426.0,15437659.8,0.583,0.605,0.583,0.587,3.75,7.63,1.09,-21.62,116051.0,144375.0,1313097.0,8.51,155462.0,1.01,1157635.0,7.5,-807149.0,-5.23,-505948.0,-3.28,-676.0,0.604,0.605,341255056.0,206118054,206118054,2024-09-26,2024-09-26 15:00:06+08:00
770,516330,物联网ETF,0.819,0.8254,0.78,0.023,2.89,6669.0,542173.0,0.798,0.819,0.794,0.796,3.14,1.35,1.66,0.19,3757.0,2912.0,97331.0,17.95,0.0,0.0,97331.0,17.95,-47940.0,-8.84,-49390.0,-9.11,38.0,0.824,0.826,49271300.0,40353195,40353195,2024-09-26,2024-09-26 15:00:43+08:00
771,510130,中盘ETF,5.2,5.2174,0.33,0.146,2.89,1086.0,553733.0,4.92,5.2,4.92,5.054,5.54,0.22,0.53,2.06,371.0,715.0,420932.0,76.02,0.0,0.0,420932.0,76.02,-320151.0,-57.82,-100780.0,-18.2,4.0,5.202,5.227,49085100.0,255242520,255242520,2024-09-26,2024-09-26 15:00:41+08:00
772,159732,消费电子ETF,0.642,0.6408,-0.19,0.018,2.88,1741357.0,109595091.434,0.624,0.642,0.62,0.624,3.53,11.36,1.28,-35.45,921048.0,820309.0,1995844.0,1.82,1441726.0,1.32,554118.0,0.51,-2146331.0,-1.96,150486.0,0.14,-33506.0,0.642,0.643,1532447904.0,983831554,983831554,2024-09-26,2024-09-26 15:00:06+08:00
773,159695,通信ETF,1.0,0.997,-0.3,0.028,2.88,66821.0,6520526.4,0.97,1.0,0.963,0.972,3.81,8.27,1.13,93.45,29722.0,37099.0,300650.0,4.61,-914359.0,-14.02,1215009.0,18.63,-170531.0,-2.62,-130119.0,-2.0,80.0,0.998,1.0,80812086.0,80812086,80812086,2024-09-26,2024-09-26 15:00:06+08:00
774,512960,央企结构调整ETF,1.215,1.2131,-0.16,0.034,2.88,224402.0,26631659.0,1.19,1.215,1.179,1.181,3.05,0.55,0.81,-18.49,117116.0,107286.0,-336787.0,-1.26,1109071.0,4.16,-1445858.0,-5.43,276840.0,1.04,59948.0,0.23,50.0,1.213,1.215,4107257296.0,4990317615,4990317615,2024-09-26,2024-09-26 15:00:40+08:00
775,513690,恒生高股息ETF,0.859,0.8621,0.36,0.024,2.87,1391963.0,117808844.0,0.839,0.859,0.832,0.835,3.23,5.56,0.74,11.7,863080.0,528883.0,1822065.0,1.55,8696746.0,7.38,-6874681.0,-5.84,-1987795.0,-1.69,165730.0,0.14,800.0,0.858,0.859,2503479904.0,2150489238,2150489238,2024-09-26,2024-09-26 15:00:43+08:00
776,560960,碳中和60指数ETF,0.716,0.7173,0.18,0.02,2.87,73345.0,5157862.0,0.696,0.716,0.695,0.696,3.02,10.54,1.14,-53.85,35303.0,38042.0,85970.0,1.67,0.0,0.0,85970.0,1.67,-47118.0,-0.91,-38851.0,-0.75,1.0,0.701,0.716,69598900.0,49832812,49832812,2024-09-26,2024-09-26 15:00:40+08:00
777,159566,储能电池ETF,1.114,1.1137,-0.03,0.031,2.86,35767.0,3918342.918,1.082,1.114,1.071,1.083,3.97,7.19,1.51,21.94,15018.0,20749.0,-511019.0,-13.04,689839.0,17.61,-1200858.0,-30.65,523326.0,13.36,-12307.0,-0.31,-265.0,1.114,1.115,49739776.0,55410110,55410110,2024-09-26,2024-09-26 15:00:06+08:00
778,159641,双碳ETF,0.722,0.7238,0.25,0.02,2.85,163308.0,11578187.957,0.708,0.722,0.7,0.702,3.13,3.71,0.86,-52.2,83856.0,79452.0,750706.0,6.48,563888.0,4.87,186818.0,1.61,-440384.0,-3.8,-310322.0,-2.68,188.0,0.722,0.723,440719136.0,318199216,318199216,2024-09-26,2024-09-26 15:00:06+08:00
779,159974,央企创新ETF,1.485,1.4835,-0.1,0.041,2.84,39655.0,5761978.0,1.447,1.485,1.437,1.444,3.32,2.84,1.0,81.68,26303.0,13352.0,-829710.0,-14.4,143.0,0.0,-829853.0,-14.4,523118.0,9.08,306591.0,5.32,-496.0,1.485,1.486,139432422.0,207057147,207057147,2024-09-26,2024-09-26 15:00:06+08:00
780,159959,央企ETF,1.346,1.3417,-0.32,0.037,2.83,101180.0,13349707.3,1.312,1.346,1.303,1.309,3.28,0.47,0.3,94.5,52828.0,48352.0,348394.0,2.61,-1182003.0,-8.85,1530397.0,11.46,-405268.0,-3.04,56875.0,0.43,-645.0,1.346,1.347,2151891776.0,2896446330,2896446330,2024-09-26,2024-09-26 15:00:06+08:00
