code,close,adjfactor,tradestatus,rn
sz.002522,4.43,8.64150332462081,1,1
sz.002523,3.48,7.565569027344593,1,1
sz.002526,3.68,6.0304986529684586,1,1
sz.002530,10.35,3.346186522586038,1,1
sz.002531,6.43,8.276065260137832,1,1
sz.002532,7.44,8.09031583312675,1,1
sz.002533,9.73,5.619812519589952,1,1
sz.002534,10.83,2.310786147893103,1,1
sz.002535,3.77,3.5293584383701107,1,1
sz.002536,15.19,5.626956911660394,1,1
sz.002537,6.95,6.888272418737463,1,1
sz.002538,5.11,5.199306672655456,1,1
sz.002539,8.33,6.6688391362806865,1,1
sz.002540,5.77,9.857138116648937,1,1
sz.002541,18.74,4.304030937155967,1,1
sz.002543,11.21,5.7990368701769945,1,1
sz.002545,7.62,5.8870579664440745,1,1
sz.002546,4.96,10.982283467389006,1,1
sz.002549,8.3,8.397923027235262,1,1
sz.002550,6.08,10.479660078829411,1,1
sz.002551,3.21,8.309142505005463,1,1
sz.002552,12.9,3.1695682029051753,1,1
sz.002553,21.79,4.885553123328091,1,1
sz.002554,2.41,7.1800358509735815,1,1
sz.002555,15.19,13.969187153972586,1,1
sz.002556,5.38,6.0447272006055455,1,1
sz.002557,23.18,3.5629191618933547,1,1
sz.002558,14.53,4.461395495112434,1,1
sz.002559,9.16,7.515472984359853,1,1
sz.002560,6.31,4.3021176803021834,1,1
sz.002561,8.15,1.4623961301235366,1,1
sz.002562,4.52,6.896406349360503,1,1
sz.002563,5.62,6.664416152806574,1,1
sz.002564,5.83,3.245229300402092,1,1
sz.002565,3.63,8.461734774166024,1,1
sz.002566,7.02,3.193457165324757,1,1
sz.002568,26.1,9.022576292579293,1,1
sz.002570,6.11,2.5789401557096183,1,1
sz.002572,15.21,21.12904998361744,1,1
sz.002576,14.65,1.3841340165552232,1,1
sz.002577,20.5,2.3429684305260943,1,1
sz.002578,2.93,5.275148330321076,1,1
sz.002579,7.61,4.701238048396467,1,1
sz.002580,11.97,4.211769644692712,1,1
sz.002582,11.31,5.471820717743781,1,1
sz.002583,11.11,5.632713336185996,1,1
sz.002584,9.04,2.697946688239961,1,1
sz.002587,5.69,7.620244712032067,1,1
sz.002588,8.39,9.962976319474603,1,1
sz.002589,2.95,9.563228911350372,1,1
sz.002590,11.96,4.701183680770591,1,1
sz.002591,5.25,3.4648278552736382,1,1
sz.002593,4.71,3.4380183226743735,1,1
sz.002594,353.09,1.0378048958242532,1,1
sz.002595,56.76,4.994034281132369,1,1
sz.002597,24.83,5.278599758905555,1,1
sz.002598,9.24,2.472725632849369,1,1
sz.002600,7.98,4.3849518466275725,1,1
sz.002601,16.54,11.374167723099418,1,1
sz.002603,13.74,4.163070925592119,1,1
sz.002605,27.07,4.832524142573484,1,1
sz.002606,8.31,4.2448273462785675,1,1
sz.002607,3.01,8.244676363371354,1,1
sz.002608,7.34,2.75707334778388,1,1
sz.002609,10.33,5.64600657466799,1,1
sz.002611,12.87,6.945943421601119,1,1
sz.002612,15.89,2.496316431266605,1,1
sz.002613,3.73,3.746787190980249,1,1
sz.002615,7.08,5.658860965140759,1,1
sz.002616,5.67,4.735499946619927,1,1
sz.002617,7.14,7.821248853753302,1,1
sz.002624,13.59,3.6575273761482126,1,1
sz.002625,42.2,6.744480861574629,1,1
sz.002626,15.86,8.230260542044816,1,1
sz.002627,5.4,3.409727808274114,1,1
sz.002628,4.24,3.8331938707023663,1,1
sz.002632,8.35,6.582140895152967,1,1
sz.002633,12.01,1.5231116121758739,1,1
sz.002635,12.86,5.062154605042027,1,1
sz.002636,8.11,2.6998823014793394,1,1
sz.002637,9.4,4.599163479557055,1,1
sz.002639,7.6,3.087680038665304,1,1
sz.002642,7.45,4.631444533141844,1,1
sz.002643,10.92,6.068391934776775,1,1
sz.002644,7.79,5.728688913605434,1,1
sz.002645,7.65,5.5627803534324265,1,1
sz.002646,8.87,1.1122437920565846,1,1
sz.002648,18.11,12.607081393533095,1,1
sz.002649,13.15,5.196540738405395,1,1
sz.002651,6.55,3.1545100780279816,1,1
sz.002653,42.8,3.312323932341563,1,1
sz.002655,12.81,3.0603454685293556,1,1
sz.002658,6.49,5.7873476705380975,1,1
sz.002659,4.73,2.029178177209964,1,1
sz.002661,10.13,3.7806860795267507,1,1
sz.002662,3.59,4.991115557095801,1,1
sz.002664,17.23,3.1778600061422897,1,1
