code,date,open,close,high,low,volume,amount,adjfactor,tradestatus,rn,daily_return,cumulative_return,ma20,ma60,volatility,rolling_max,drawdown
sz.399101,2010-05-18,5284.092,5387.471,5407.937,5199.138,1201051948,21800237570.15,1.0,1,3554,0.012769327596500624,-0.07799115825128289,5980.45495,6028.802983333333,0.39351682736783933,6593.443,-0.18290474339430865
sz.399101,2010-05-19,5356.923,5436.994,5503.042,5325.127,1144100961,22092601504.45,1.0,1,3553,0.00919225365667864,-0.06951581910422822,5937.416950000001,6025.659966666667,0.3903238035026685,6593.443,-0.1753937965339202
sz.399101,2010-05-20,5394.12,5371.109,5518.3,5356.064,1046065699,19169774337.23,1.0,1,3552,-0.012117909271189053,-0.08079134198659987,5880.348400000001,6020.995766666668,0.3589489069549511,6593.443,-0.18538629969198184
sz.399101,2010-05-21,5226.83,5508.59,5508.59,5196.208,1241037150,23163505525.37,1.0,1,3551,0.025596389870322866,-0.057262918803912655,5827.39565,6016.19765,0.3750097756198102,6593.443,-0.16453512982519147
sz.399101,2010-05-24,5547.453,5738.354,5749.961,5547.4,1744445194,33051527343.88,1.0,1,3550,0.04171012908929517,-0.01794123344995846,5788.68325,6013.483516666666,0.4151964259467997,6593.443,-0.12968778224062905
sz.399101,2010-05-25,5707.508,5687.299,5756.62,5634.041,1521776449,29558733314.98,1.0,1,3549,-0.008897150646335228,-0.026678758239508382,5746.4481,6009.813783333333,0.41393493852895197,6593.443,-0.13743108115138028
sz.399101,2010-05-26,5671.351,5678.774,5727.731,5637.738,1138727135,22040846063.93,1.0,1,3548,-0.0014989540729263284,-0.028137722079111027,5713.1426,6005.02995,0.4058755289044147,6593.443,-0.13872403234546804
sz.399101,2010-05-27,5673.179,5792.911,5805.447,5605.728,1420510547,26824505495.92,1.0,1,3547,0.02009888049779751,-0.008604378294861825,5687.0981,6001.931049999999,0.4157170965730478,6593.443,-0.12141334959595466
sz.399101,2010-05-28,5841.386,5821.418,5865.262,5780.693,1544149987,31796186063.99,1.0,1,3546,0.004921014667754964,-0.0037257058989027536,5672.58485,5998.131683333332,0.40315499608182714,6593.443,-0.11708981180242257
sz.399101,2010-05-31,5796.81,5669.915,5864.973,5669.915,1389321202,27541812990.7,1.0,1,3545,-0.026025102475032647,-0.02965384649612457,5659.10855,5995.033899999999,0.40137424611900696,6593.443,-0.14006763992651491
sz.399101,2010-06-01,5608.76,5568.661,5663.231,5450.23,1413176102,26727619443.84,1.0,1,3544,-0.017858116038776628,-0.046982400703177385,5640.1437000000005,5990.192216666666,0.40500135169727347,6593.443,-0.1554244117982062
sz.399101,2010-06-02,5544.021,5642.282,5642.282,5481.179,1056235342,20475138170.34,1.0,1,3543,0.013220592885794247,-0.0343829430098771,5615.4334,5985.422683333333,0.3890150736303961,6593.443,-0.14425862178531004
sz.399101,2010-06-03,5671.297,5633.881,5755.062,5633.881,1475496820,31577109021.69,1.0,1,3542,-0.0014889365685727407,-0.03582068555726725,5598.700750000001,5980.585616666666,0.3790275291041154,6593.443,-0.14553276641657475
sz.399101,2010-06-04,5600.208,5709.163,5709.593,5582.066,1213138592,23935391425.59,1.0,1,3541,0.01336236956371617,-0.022936965231992956,5591.791299999999,5978.1615,0.37701549224536085,6593.443,-0.13411505946134678
sz.399101,2010-06-07,5601.037,5745.014,5760.065,5577.945,1465197402,29734421919.46,1.0,1,3540,0.006279554463587855,-0.016801444690808798,5594.19815,5976.697516666667,0.36604193009442487,6593.443,-0.12867768781803376
sz.399101,2010-06-08,5742.049,5818.707,5826.74,5733.876,1719841591,34013396839.98,1.0,1,3539,0.012827296852540249,-0.004189664956869121,5607.58615,5977.74435,0.3546795472115568,6593.443,-0.11750097786543387
sz.399101,2010-06-09,5842.044,5943.905,5943.905,5842.044,1904720913,36091345193.66,1.0,1,3538,0.0215164640529244,0.017236652320617107,5634.2827,5981.622566666668,0.3445169623129148,6593.443,-0.09851271937893456
sz.399101,2010-06-10,5926.262,5985.418,6026.392,5908.973,1766851273,36159454517.92,1.0,1,3537,0.006984129120502391,0.024341164446531893,5654.4595,5985.5674666666655,0.32983308286420376,6593.443,-0.09221661581058645
sz.399101,2010-06-11,6005.558,5944.972,6022.259,5939.375,1582465261,33541538646.85,1.0,1,3536,-0.006757422789853584,0.017419258117315817,5670.2191,5986.271583333333,0.33131503719662414,6593.443,-0.09835089193915841
sz.399101,2010-06-17,5976.213,5819.287,5999.353,5818.959,1390630802,30150405294.66,1.0,1,3535,-0.021141394778646516,-0.004090404073940013,5695.20625,5984.855733333333,0.2683484675927499,6593.443,-0.11741301168448713
sz.399101,2010-06-18,5793.871,5560.523,5793.871,5521.994,1542634475,30805060090.17,1.0,1,3534,-0.044466615927346465,-0.04837513357434298,5703.85885,5978.409716666666,0.3177064638819243,6593.443,-0.15665866831638645
sz.399101,2010-06-21,5540.005,5703.489,5703.489,5461.609,1258529978,23466719907.72,1.0,1,3533,0.025710890864042657,-0.023908010490163778,5717.183599999999,5973.700333333332,0.3280648021136328,6593.443,-0.1349756113763326
sz.399101,2010-06-22,5696.723,5752.499,5777.008,5682.189,1179989168,21547196289.68,1.0,1,3532,0.00859298580219936,-0.015520465882665202,5736.2531,5970.1106,0.32395377657859464,6593.443,-0.12754246908633327
sz.399101,2010-06-23,5725.362,5759.626,5810.061,5679.125,1291473802,25887892234.82,1.0,1,3531,0.0012389398068561874,-0.014300754998812004,5748.8049,5965.648616666666,0.31341901137347955,6593.443,-0.12646154672149285
sz.399101,2010-06-24,5756.676,5762.864,5794.229,5727.35,1037401633,20815671105.82,1.0,1,3530,0.0005621892810399043,-0.013746605448943239,5750.0304,5962.005516666667,0.2769044164865105,6593.443,-0.1259704527664834
sz.399101,2010-06-25,5738.777,5656.813,5741.468,5602.854,1131047407,21906235794.11,1.0,1,3529,-0.018402481821538696,-0.03189611561359984,5748.5061000000005,5955.6425500000005,0.2831048600797906,6593.443,-0.14205476562093583
sz.399101,2010-06-28,5650.132,5578.174,5680.208,5549.555,961465307,18698494475.01,1.0,1,3528,-0.013901643911509942,-0.045354351083689126,5743.476100000001,5947.45035,0.2873003758069739,6593.443,-0.1539816147648505
sz.399101,2010-06-29,5575.258,5286.492,5598.134,5285.314,1386567858,24900653816.85,1.0,1,3527,-0.052289871201579574,-0.09527264910867139,5718.1551500000005,5933.2777,0.32948333056815715,6593.443,-0.19821980716296478
sz.399101,2010-06-30,5226.527,5231.904,5236.822,5139.858,1055667954,18702906572.19,1.0,1,3526,-0.010325940150859969,-0.10461480958682134,5688.67945,5917.320566666666,0.3282322854284234,6593.443,-0.20649894144834494
sz.399101,2010-07-01,5221.768,5158.946,5270.701,5157.065,988646113,17968402480.73,1.0,1,3525,-0.013944827733842313,-0.11710080182256677,5663.130999999999,5898.724400000001,0.32074233125402646,6593.443,-0.21756417701646927
sz.399101,2010-07-02,5145.6,5091.657,5157.234,4893.24,1246311535,22660218288.09,1.0,1,3524,-0.013043168119999615,-0.12861660449740786,5639.2808,5878.839250000001,0.3185332344701905,6593.443,-0.22776961899875375
sz.399101,2010-07-05,5028.248,5073.43,5104.396,4980.766,898036191,15785501531.02,1.0,1,3523,-0.003579777663734962,-0.1317359633131776,5610.8382,5858.23695,0.31180698403556084,6593.443,-0.2305340320679196
sz.399101,2010-07-06,5064.063,5221.298,5224.759,5061.465,1242075333,22109227142.4,1.0,1,3522,0.02914556818562586,-0.10642991462879503,5590.20905,5839.180966666667,0.3346545039671535,6593.443,-0.20810750923303659
sz.399101,2010-07-07,5225.729,5289.861,5289.861,5199.857,1116898341,19768547246.76,1.0,1,3521,0.013131409086399648,-0.09469608029041665,5569.24395,5821.021833333333,0.33450037543351324,6593.443,-0.19770884498432767
sz.399101,2010-07-08,5306.255,5282.353,5327.651,5228.56,1119333157,20470216887.37,1.0,1,3520,-0.0014193189575302245,-0.09598099530598692,5546.1109,5800.7967499999995,0.3325975021417658,6593.443,-0.1988475520301002
sz.399101,2010-07-09,5282.466,5422.213,5442.677,5239.045,1522214880,27286800449.32,1.0,1,3519,0.02647683712163862,-0.07204543136383768,5526.2862000000005,5781.27625,0.34504112564626854,6593.443,-0.17763556915559905
sz.399101,2010-07-12,5427.849,5470.794,5482.507,5415.799,1480374892,26720752932.16,1.0,1,3518,0.008959625894445766,-0.06373130558181583,5502.63065,5765.224749999999,0.3358206191226115,6593.443,-0.17026749150633444
sz.399101,2010-07-13,5434.195,5402.776,5434.195,5348.719,1398860092,25843282433.96,1.0,1,3517,-0.01243293021086156,-0.07537186891813163,5473.498549999999,5747.188716666667,0.3345263129436413,6593.443,-0.18058349787811925
sz.399101,2010-07-14,5406.795,5416.508,5483.097,5390.396,1298034107,23196719747.64,1.0,1,3516,0.0025416563633213762,-0.07302178194506148,5447.07535,5731.09975,0.33546661064679634,6593.443,-0.17850082271129064
sz.399101,2010-07-15,5403.58,5289.982,5452.06,5288.944,1141323717,20273089897.27,1.0,1,3515,-0.02335933040253979,-0.09467537241656432,5420.6101,5712.4531,0.33702085615375726,6593.443,-0.1976904934189922
sz.399101,2010-07-16,5258.354,5298.388,5313.92,5190.183,1092717767,20090528779.35,1.0,1,3514,0.001589041323770024,-0.09323677417190757,5407.503350000001,5697.272383333333,0.30254213747821523,6593.443,-0.1964155904585814
sz.399101,2010-07-19,5252.082,5421.615,5432.747,5226.781,1278609314,22883304930.37,1.0,1,3513,0.023257451134194085,-0.07214777275692652,5393.40965,5682.6700666666675,0.2996476049857278,6593.443,-0.1777262653214717
