,代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
25,515900,央企创新驱动ETF,1.408,1.4098,0.13,0.034,2.47,928840.0,130715754.0,1.366,1.416,1.366,1.374,3.64,2.96,2.78,-88.14,586287.0,342553.0,6453390.0,4.94,7668644.0,5.87,-1215254.0,-0.93,769051.0,0.59,-7222441.0,-5.53,30.0,1.407,1.41,3133646496.0,4412174266,4412174266,2024-06-28,2024-06-28 16:11:55+08:00
26,159507,电信ETF,0.912,0.9116,-0.04,0.022,2.47,69022.0,6298570.509,0.898,0.916,0.898,0.89,2.02,11.91,1.73,-0.88,40585.0,28437.0,262971.0,4.18,146183.0,2.32,116788.0,1.85,-148322.0,-2.35,-114648.0,-1.82,3.0,0.911,0.912,57943634.0,52844594,52844594,2024-06-28,2024-06-28 15:34:33+08:00
27,159695,通信ETF,1.002,1.001,-0.1,0.024,2.45,51437.0,5133609.2,0.979,1.007,0.977,0.978,3.07,6.61,0.83,59.97,34036.0,17401.0,-493370.0,-9.61,0.0,0.0,-493370.0,-9.61,624230.0,12.16,-130859.0,-2.55,206.0,1.001,1.002,77812086.0,77967710,77967710,2024-06-28,2024-06-28 15:34:06+08:00
28,159611,电力ETF,1.044,1.0425,-0.14,0.025,2.45,1661264.0,171288245.966,1.019,1.047,1.011,1.019,3.53,7.28,1.47,21.79,1064856.0,596408.0,14268504.0,8.33,-1681497.0,-0.98,15950001.0,9.31,-7790121.0,-4.55,-6478381.0,-3.78,-8844.0,1.044,1.045,2282362896.0,2382786863,2382786863,2024-06-28,2024-06-28 15:34:09+08:00
29,515880,通信ETF,1.178,1.1771,-0.08,0.028,2.43,1969282.0,232260464.0,1.148,1.193,1.143,1.15,4.35,10.0,1.34,-17.5,1077150.0,892132.0,-3744468.0,-1.61,-9422735.0,-4.06,5678267.0,2.44,9437704.0,4.06,-5693237.0,-2.45,806.0,1.177,1.178,1968462304.0,2318848594,2318848594,2024-06-28,2024-06-28 16:11:37+08:00
30,159974,央企创新ETF,1.516,1.5184,0.16,0.036,2.43,69731.0,10509493.2,1.487,1.524,1.484,1.48,2.7,3.13,1.84,-23.96,44113.0,25618.0,1339506.0,12.75,2517266.0,23.95,-1177760.0,-11.21,-929438.0,-8.84,-410070.0,-3.9,179.0,1.514,1.516,222432422.0,337207552,337207552,2024-06-28,2024-06-28 15:34:51+08:00
31,159690,矿业ETF,0.957,0.9598,0.29,0.022,2.35,7529.0,718464.6,0.944,0.964,0.941,0.935,2.46,5.72,3.66,42.41,3801.0,3728.0,1844.0,0.26,0.0,0.0,1844.0,0.26,0.0,0.0,-1845.0,-0.26,50.0,0.956,0.957,13163978.0,12597927,12597927,2024-06-28,2024-06-28 15:35:03+08:00
32,561170,绿电50ETF,1.133,1.1334,0.04,0.026,2.35,112479.0,12645709.0,1.105,1.138,1.101,1.107,3.34,9.45,1.85,54.44,47051.0,65428.0,669544.0,5.29,-496572.0,-3.93,1166116.0,9.22,-464392.0,-3.67,-205154.0,-1.62,-30.0,1.132,1.134,119032700.0,134864049,134864049,2024-06-28,2024-06-28 16:11:36+08:00
33,563150,油气资源ETF,0.964,0.9648,0.08,0.022,2.34,44136.0,4235580.0,0.944,0.97,0.944,0.942,2.76,3.21,2.59,-68.77,24680.0,19456.0,1576336.0,37.22,1345795.0,31.77,230541.0,5.44,-1136985.0,-26.84,-439352.0,-10.37,-658.0,0.965,0.966,137399000.0,132452636,132452636,2024-06-28,2024-06-28 16:11:47+08:00
34,159994,5GETF,0.833,0.831,-0.24,0.019,2.33,434223.0,36181835.639,0.811,0.841,0.809,0.814,3.93,2.19,1.2,7.88,267599.0,166624.0,-3743833.0,-10.35,-4853099.0,-13.41,1109266.0,3.07,3744196.0,10.35,-362.0,0.0,2753.0,0.832,0.833,1983001680.0,1651840399,1651840399,2024-06-28,2024-06-28 15:34:45+08:00
35,515600,央企创新ETF,1.406,1.4074,0.1,0.032,2.33,190857.0,26698106.0,1.375,1.413,1.375,1.374,2.77,1.18,1.97,6.17,94992.0,95865.0,6095208.0,22.83,4626696.0,17.33,1468512.0,5.5,-3507809.0,-13.14,-2587399.0,-9.69,50.0,1.405,1.407,1623797408.0,2283059156,2283059156,2024-06-28,2024-06-28 16:11:37+08:00
36,560580,电力ETF南方,1.1,1.1007,0.06,0.025,2.33,81894.0,8926684.0,1.071,1.105,1.069,1.075,3.35,37.22,1.52,-22.63,38778.0,43116.0,379170.0,4.25,0.0,0.0,379170.0,4.25,-212265.0,-2.38,-166905.0,-1.87,-90.0,1.1,1.102,22003000.0,24203300,24203300,2024-06-28,2024-06-28 16:11:32+08:00
37,159697,油气ETF,1.036,1.0395,0.34,0.023,2.27,112329.0,11578529.0,1.009,1.041,1.009,1.013,3.16,10.59,1.07,-31.84,61353.0,50976.0,1510622.0,13.05,182960.0,1.58,1327662.0,11.47,-759218.0,-6.56,-751405.0,-6.49,-77.0,1.036,1.037,106022006.0,109838798,109838798,2024-06-28,2024-06-28 15:34:39+08:00
38,562550,绿电ETF,1.13,1.1308,0.07,0.025,2.26,70321.0,7854694.0,1.101,1.135,1.1,1.105,3.17,8.74,2.74,21.96,49274.0,21047.0,1317569.0,16.77,1906870.0,24.28,-589301.0,-7.5,-579843.0,-7.38,-737726.0,-9.39,44.0,1.129,1.131,80419300.0,90873809,90873809,2024-06-28,2024-06-28 16:11:55+08:00
39,510410,资源ETF,1.232,1.231,-0.08,0.027,2.24,263728.0,32249867.0,1.2,1.239,1.2,1.205,3.24,5.74,2.87,41.79,163657.0,100071.0,-4046916.0,-12.55,-6050511.0,-18.76,2003595.0,6.21,3757081.0,11.65,289834.0,0.9,2613.0,1.232,1.233,459258400.0,565806349,565806349,2024-06-28,2024-06-28 16:11:53+08:00
40,515050,5G通信ETF,1.013,1.0117,-0.13,0.022,2.22,1281251.0,129718071.0,0.986,1.025,0.986,0.991,3.94,1.77,1.13,-23.15,699750.0,581501.0,5630673.0,4.34,1511837.0,1.17,4118836.0,3.18,-4146629.0,-3.2,-1484045.0,-1.14,1694.0,1.011,1.012,7255068416.0,7349384305,7349384305,2024-06-28,2024-06-28 16:11:42+08:00
41,513170,恒生央企ETF,1.145,1.1397,-0.47,0.024,2.14,389211.0,44474361.0,1.122,1.152,1.122,1.121,2.68,13.44,1.6,50.91,250268.0,138943.0,4071220.0,9.15,6110531.0,13.74,-2039311.0,-4.59,-2610004.0,-5.87,-1461216.0,-3.29,-100.0,1.145,1.146,289573008.0,331561094,331561094,2024-06-28,2024-06-28 16:11:46+08:00
42,159880,有色ETF基金,1.007,1.0061,-0.09,0.021,2.13,51513.0,5143418.7,0.979,1.014,0.978,0.986,3.65,8.11,1.12,93.72,28118.0,23395.0,530975.0,10.32,397191.0,7.72,133784.0,2.6,-333068.0,-6.48,-197906.0,-3.85,-3.0,1.007,1.009,63551518.0,63996379,63996379,2024-06-28,2024-06-28 15:34:54+08:00
43,159871,有色金属ETF,1.01,1.0101,0.01,0.021,2.12,116230.0,11664911.506,0.987,1.017,0.987,0.989,3.03,14.64,1.16,-16.73,57384.0,58846.0,510943.0,4.38,1276364.0,10.94,-765421.0,-6.56,-346165.0,-2.97,-164780.0,-1.41,33.0,1.008,1.01,79366253.0,80159916,80159916,2024-06-28,2024-06-28 15:34:48+08:00
